text,label
You’ve charged me after deactivation  ,billing
No warranty included  ,product
This is the third time this happened  ,billing
Where did this mystery upgrade come from?  ,billing
How many times do I have to call?  ,billing
My name isn’t even on this account.  ,billing
Everything inside was melted and useless  ,delivery
No lock mechanism  ,product
I explicitly said “leave at front desk”—ignored  ,delivery
I’m done being overcharged  ,billing
Received with stains  ,product
Why do I always get someone else’s order?  ,delivery
That’s not the plan I picked  ,billing
You gave my order to the wrong person  ,delivery
You forgot to include the charger  ,product
You delayed the delivery and didn’t tell me  ,delivery
I’ve had enough of late deliveries  ,delivery
They delivered to the garage without asking  ,delivery
Why did you withdraw from my account?  ,billing
I was told there'd be no charge until next month.  ,billing
Torn fabric out of the box  ,product
There’s a permanent marker line on it  ,product
It looks nothing like the ad  ,product
Item fell apart in shipping  ,product
Items were open when I received them  ,delivery
My usage doesn’t justify this charge.  ,billing
I asked for signature confirmation and it was ignored  ,delivery
Charger cable is frayed  ,product
Fan is super loud  ,product
Looks nothing like the ad  ,product
Driver never approached the house  ,delivery
My order is 3 days late  ,delivery
There are holes in the material  ,product
Package was stolen because it wasn’t hidden  ,delivery
Screen is unresponsive  ,product
The box had someone else’s name on it  ,delivery
I need a detailed bill  ,billing
Nothing ever arrives on time with you  ,delivery
No padding as promised  ,product
I can’t believe how badly this was handled  ,delivery
No serial number  ,product
Packaging was completely ripped  ,product
Not compatible with anything I own  ,product
How did my bill end up being this high?  ,billing
How can you bill someone without consent?  ,billing
The site glitched and now I’m paying more.  ,billing
This invoice makes absolutely no sense.  ,billing
Please tell me why I still don’t have my order  ,delivery
I want a refund—nothing arrived  ,delivery
Coating flakes off  ,product
There’s no breakdown of charges  ,billing
The box was already open when I got it  ,delivery
You can’t keep messing this up  ,delivery
There’s no excuse for this delay  ,delivery
Doesn’t inflate properly  ,product
That’s not what I was told  ,billing
How is this fee still showing up?  ,billing
Where is my signature-required delivery?  ,delivery
The trial ended early and I got charged  ,billing
Stickers all over the product  ,product
Doesn’t attach securely  ,product
Doesn’t have the advertised features  ,product
The app said “delivered”—but where?  ,delivery
Suction is very weak  ,product
Tracking says delivered to a “safe place”—where?!  ,delivery
I’ve already complained and nothing changed  ,delivery
Please stop debiting my account  ,billing
This delay cost me a client  ,delivery
Why is the statement blank?  ,billing
"The charge was declined, but still pending  ",billing
Spout is bent  ,product
This is the worst delivery service  ,delivery
Hinge is wobbly  ,product
You billed the wrong department.  ,billing
I never approved this change in delivery  ,delivery
I see a fee that shouldn’t be there.  ,billing
This is clearly a cheap knockoff  ,product
Why did the price go up?  ,billing
The zipper broke immediately  ,product
I never gave you permission to charge  ,billing
I expected better from your company  ,billing
Driver dumped it in a random hallway  ,delivery
Driver refused to hand it to me  ,delivery
The stitching is coming undone  ,product
You didn’t apply the store credit I had.  ,billing
They just threw it over the gate  ,delivery
No plug adapter included  ,product
This isn't even my package  ,delivery
Too many missing parts  ,product
Left at the wrong building  ,delivery
Still no sign of my package  ,delivery
This isn’t my order  ,delivery
Paint is rubbing off already  ,product
You keep increasing the amount without telling me.  ,billing
You sent a different color entirely  ,product
The cord is frayed and unsafe  ,product
You keep charging me even after I left  ,billing
It was supposed to be wireless  ,product
One side doesn’t function  ,product
Item looks like it’s been returned before  ,product
The battery exploded  ,product
Still no sign of my groceries—what's going on?  ,delivery
The app won’t even let me report missing items  ,delivery
The clasp is broken  ,product
Still being billed after refund request  ,billing
There’s a chip in the ceramic  ,product
Why charge me before the trial ends?  ,billing
Tracking hasn't updated in over a week  ,delivery
"Advertised as metal, it’s plastic  ",product
It makes a weird buzzing sound  ,product
My signature was forged on the delivery confirmation  ,delivery
I’m tired of repeating myself  ,billing
This is ruining my finances  ,billing
You keep charging me for nothing  ,billing
"This is clearly used, not new  ",product
I want a replacement immediately  ,product
Package smells like it went bad  ,delivery
That’s not what my receipt says.  ,billing
This should be free for members  ,billing
Please stop leaving my packages in unsafe spots  ,delivery
It doesn’t match the description at all  ,product
This was supposed to renew at a lower price.  ,billing
It arrived broken in the box  ,product
This is the third time you've delayed my order  ,delivery
Item was thrown over my fence  ,product
Power cord doesn’t fit  ,product
Zipper ripped the first day  ,product
Sticker is off-center  ,product
I want proof of this charge  ,billing
I signed up with a discount that never applied.  ,billing
I was home all day and still missed the delivery  ,delivery
"Wrong package, wrong address  ",delivery
Your system auto-charged before confirmation.  ,billing
Power switch gets stuck  ,product
That was supposed to be waived.  ,billing
It says signed by me—I never signed anything  ,delivery
Tracking shows delivered five days ago—nothing here  ,delivery
I’ve never seen this charge before  ,billing
I left delivery instructions that weren’t followed  ,delivery
This delay is messing up my plans  ,delivery
You sent the wrong version number  ,product
Why does this happen every time I order?  ,delivery
This isn’t even my account  ,billing
My profile shows zero usage.  ,billing
Spilled inside the packaging  ,product
This is the last time I order from you  ,delivery
No protective wrapping included  ,product
Can’t download the app  ,product
